"Name","PriceRange","Address"
"Viceroy Miami","$185 - $507*"," 485 Brickell Avenue, Miami, FL 33131  "
"Radisson Blu Le Metropolitan","$256 - $438*"," 10 Place de Mexico, 75116 Paris, France (Formerly Radisson SAS) "
"Hampton Inn Indianapolis Northwest - Park 100","$108 - $149*"," 5860 West 73rd Street, Indianapolis, IN 46278  "
"The Empire Hotel Causeway Bay","$115 and up*","No.8 Wing Hing Street, Causeway Bay, Hong Kong, China "
"Hotel Indigo San Diego Gaslamp Quarter","$173 - $351*"," 509 9th Avenue, San Diego, CA 92101  "
"Leonardo Royal Hotel Berlin","$83 - $235*","1237145.json"
"Howard Johnson Inn - San Diego","$49 - $103*"," 6440 El Cajon Boulevard, San Diego, CA 92115  "
"Sheraton Istanbul Atakoy Hotel","$221 - $503*","Sahilyolu | Atakoy, Istanbul 34158, Turkey "
"Hotel 83 Amsterdam","$79 - $193*","Oudezijds Achterburgwal 83, Amsterdam 1012, The Netherlands "
"Homewood Suites by Hilton Lake Buena Vista-Orlando","$99 - $169*"," 11428 Marbella Palm Court, Orlando, FL 32836  "
"Candlewood Suites Indianapolis Northwest","$85 - $163*"," 7455 Woodland Drive, Indianapolis, IN 46278  "
"Park Hotel Clarke Quay","$173 - $323*","1 Unity Street, Singapore 237983, Singapore "
"Fairfield Inn & Suites Miami Airport South","$110 - $249*"," 4101 Northwest 11th Street, Miami, FL 33126  "
"Ramada Gateway Kissimmee","$43 - $72*","7470 W. Irlo Bronson Memorial, Kissimmee, FL 34747 "
"Cavalier's Resort & Conference Center","$39 - $99*"," 520 East Thompson Road, Indianapolis, IN 46227 (Formerly Ramada Conference Center South) "
"Hotel Nexus Seattle","$109 - $169*"," 2140 N. Northgate Way, Seattle, WA 98133  "
"Hotel Five","$122 - $187*"," 2200 5th Ave, Seattle, WA 98121  "
"Ramada Inn Branson","$67 and up*","1700 West Highway 76, Branson, MO 65616 "
"Quality Inn & Suites Maison St. Charles","$100 and up*","1319 St. Charles Avenue, New Orleans, LA 70130 "
"Sleep Inn & Suites Airport","$88 - $92*","6055 Belle Grove Rd., Baltimore, MD 21225 "
"Four Points by Sheraton Downtown Seattle Center","$118 - $187*"," 601 Roy Street, Seattle, WA 98109-3160  "
"Clarion Hotel Seattle Airport","$90 - $110*"," 3000 South 176th Street, Seattle, WA 98188  "
"Days Inn South Seattle","$51 - $84*"," 13050 48th Ave South, Seattle, WA 98168  "
"BEST WESTERN PLUS Orlando Convention Center Hotel","$75 - $116*"," 6301 Westwood Blvd., Orlando, FL 32821 (Formerly Sleep Inn at Convention Center) "
"Heritage Park Inn","$49 - $77*","2050 East Irlo Bronson Mem Hwy, Kissimmee, FL 34744 "
"JW Marriott Las Vegas Resort, Spa & Golf","$125 - $223*"," 221 N Rampart Blvd, Las Vegas, NV 89145  "
"San Francisco Marriott Union Square","$219 - $479*"," 480 Sutter Street, San Francisco, CA 94108 (Formerly Hotel 480) "
"Admiral Fell Inn","$179 - $324*","888 South Broadway, Historic Fell's Point, Baltimore, MD 21231 "
"Pier House Resort and Spa","$231 - $444*"," 1 Duval St, Key West, FL 33040  "
"Marquesa Hotel","$190 - $495*"," 600 Fleming St, Key West, FL 33040  "
"Figueroa Hotel","$75 - $125*","939 South Figueroa Street, Los Angeles, CA 90015 "
"Villagio Inn and Spa","$296 - $536*","6481 Washington Street, Yountville, CA 94599 "
"W New Orleans","$143 and up*","333 Poydras St., New Orleans, LA 70130 "
"Hotel LOLA","$232 - $429*"," 29 East 29 Street, New York City, NY 10016 (Formerly Hotel Thirty Thirty) "
"Silverado Resort","$106 - $414*","1600 Atlas Peak Rd., Napa, CA 94558 "
"Disney's Port Orleans Resort - Riverside","$177 - $277*"," 1251 Riverside Dr, Orlando, FL 32830 (Formerly Dixie Landings) "
"Grand Bohemian Hotel Orlando, Autograph Collection","$224 - $350*"," 325 S. Orange Ave, Orlando, FL 32801  "
"Constitution Inn","$116 - $214*"," 150 Third Avenue, Charlestown Navy Yard, Boston, MA 02129  "
"Sheraton Suites Key West","$199 - $360*"," 2001 South Roosevelt Boulevard, Key West, FL 33040  "
"Ocean Key Resort & Spa","$286 - $678*"," Zero Duval Street, Key West, FL 33040  "
"Key Lime Inn","$139 - $279*"," 725 Truman Ave, Key West, FL 33040  "
"Comfort Inn Key West","$123 - $282*"," 3820 North Roosevelt Boulevard, Key West, FL 33040-4599  "
"Hotel 31","$126 - $195*"," 120 East 31 Street, New York City, NY 10016  "
"Country Hearth Inn Maingate East","$39 - $99*","6075 W Irlo Bronson Memorial Hwy (Hwy 192), Kissimmee, FL 34747 "
"BEST WESTERN Airport Executel","$76 - $133*"," 20717 International Blvd, Seattle, WA 98003  "
"BEST WESTERN Key Ambassador Resort Inn","$168 - $307*"," 3755 South Roosevelt Boulevard, Key West, FL 33040  "
"BEST WESTERN PLUS Hibiscus Motel","$251 - $302*"," 1313 Simonton Street, Key West, FL 33040  "
"Holiday Inn Daytona Beach LPGA Boulevard","$80 and up*","137 Automall Circle, Daytona Beach, FL 32124 "
"Parc Soleil by Hilton Grand Vacations Club","$110 - $179*"," 11272 Desforges Avenue, Orlando, FL 32836  "
"The Circus Hotel","$102 - $129*","Rosenthaler Strasse 1, 10119 Berlin, Germany "
"Hilton Orlando Bonnet Creek","$39 - $296*"," 14100 Bonnet Creek Resort Lane, Orlando, FL 32821  "
"nu hotel berlin","$72 - $114*","Gubener Strasse 46/47, 10243 Berlin, Germany "
"Coral Sands Motel","$88 - $111*","1730 North Western Ave., Hollywood, Los Angeles, CA 90027 "
"Al Canal Regio","$117 - $394*","Cannaregio, 3632/A, 30121 Venice, Italy "
"AVIA Napa","$238 - $375*","1450 First Street, Napa, CA 94559-2843 "
"Butterfly On Prat","$139 and up*","No.21 Prat Avenue, Tsim Sha Tsui, Hong Kong, China "
"Catalonia Rigoletto","$140 - $274*","Sabino de Arana, 22-24, 08028 Barcelona, Spain "
"Honua Kai Resort & Spa","$282 - $542*"," 130 Kai Malina Parkway, Lahaina, Maui, HI 96761  "
"citizenM Amsterdam City","$120 - $193*","Prinses Irenestraat 30, Amsterdam 1077WX, The Netherlands "
"Hotel Ste Catherine","$55 - $104*","1674 Ste Catherine Est, Montreal, Quebec H2L 2J4, Canada "
"Domidea Hotel","$65 - $142*","Via Raffaele Costi, 17/21, 00155 Rome, Italy "
"Ivbergs Hotel Charlottenburg","$67 - $218*","Neue Kantstrasse 2, 14057 Berlin, Germany "
"A To Z Hotel","$48 - $71*"," 150 Horn Lane, Acton, London W3 6PG, England  "
"Modern Sultan Hotel","$63 - $176*","Zeynep Sultan Camii Sk#19 | Sultanahmet, Istanbul, Turkey "
"Five Boutique Hotel","$98 - $158*","Taksim, Cumhuriyet Caddesi, Prof. Celal Oker Sok., No:5, Istanbul 34373, Turkey "
"Hotel Azul","$49 - $101*"," 5ta avenida entre calles 10 y 12, Playa del Carmen 77710 , Mexico  "
"Istanbul holiday hotel","$55 - $117*","Kucuk Ayasofya Caddesi No 28 | Sultanahmet, Istanbul, Turkey "
"Jiun Long Hotel","0","Cyber Plaza, 239Temple Street, Jordan, Kowloon, Hong Kong, China "
"Airport Inn","$85 - $147*","Yesilkoy Marina, Rihtim Cad No: 21, Istanbul, Turkey "
"Compostela Suites Apartments","$54 and up*","Zambrano 4, 28022 Madrid, Spain "
"WestCord Fashion Hotel Amsterdam","$119 - $260*","Hendrikje Stoffelstraat 1, Amsterdam 1058 GC, The Netherlands "
"San Juan Park Hotel","$91 - $164*","Ave. Munoz Rivera #54 | Puerta de Tierra, San Juan 00902, Puerto Rico "
"Hilton Orlando","$133 - $336*"," 6001 Destination Parkway, Orlando, FL 32819  "
"Comfort Inn Manhattan Bridge","$215 - $363*"," 61 - 63 Chrystie Street, New York City, NY 10013  "
"Zagreb Hotel","$85 - $360*","Laleli Kemalpasa Mah. Gencturk Cad. | CukurceÅÅ¸me Sok. No:29, Istanbul 34470, Turkey "
"Leonardo Hotel Berlin","$56 - $154*","Wilmersdorfer Strasse 32, 10585 Berlin, Germany "
"Belvedere Court Hotel Apartments","$75 - $201*"," Al Kuwait Street | Burdubai, Dubai, United Arab Emirates  "
"Hotel Hul-Ku","0"," 20 Av., Playa del Carmen, Mexico  "
"Value Hotel Balestier","$79 - $123*","218 Balestier Road, Singapore, Singapore "
"Holiday Inn Miami - Doral Area","$128 - $198*"," 3255 NW 87th Ave, Miami, FL 33172  "
"Quest Potts Point","$116 - $343*","15 Springfield Avenue, Sydney, New South Wales 2011, Australia "
"La Quinta Inn & Suites Chicago Downtown","$161 - $308*"," 1 South Franklin, Chicago, IL 60606  "
"Courtyard Istanbul International Airport","$98 - $218*","Fatih Caddesi, Dereboyu Sokak 2 A, Istanbul 34303, Turkey "
"Waldorf Astoria Orlando","$190 - $462*"," 14200 Bonnet Creek Resort Lane, Orlando, FL 32821  "
"Fairfield Inn & Suites by Marriott New York Manhattan / Times Square","$276 - $488*"," 330 W. 40th Street, Between 8th Ave. & 9th Ave., New York City, NY 10018  "
"City Seasons Hotel","$123 - $817*"," Al Maktoum Road, Port Saeed, Deira | Airport Road, Dubai 182002, United Arab Emirates  "
"Titanic Port Hotel","$143 - $368*","Fisekhane Cd. No.7/3 | Bakirkoy, Istanbul 34140, Turkey "
"Courtyard Miami West/FL Turnpike","$124 - $203*"," 11580 NW 105th St, Miami, FL 33178  "
"Bardessono","$509 - $904*","6526 Yount Street, Yountville, CA 94599 "
"Fairfield Inn & Suites Orlando at Seaworld","$112 - $170*"," 10815 International Drive, Orlando, FL 32821  "
"Berce Hotel","$112 - $144*","Kucukayasofya mahallesi. Mustafapasa Sokak | No 22. Sultanahmet, Istanbul, Turkey "
"B4 Venezia-Mestre","$127 - $179*","Via Don Luigi Peron, 4, 30174 Venice, Italy "
"Blackstone Hotel","$46 - $116*"," 4055 Palos Verdes Street, Las Vegas, NV 89119 (Formerly Holiday Inn Las Vegas) "
"Hidden Hotel","$203 - $391*"," 28, rue de l'Arc de Triomphe, 75017 Paris, France  "
"Motel Pignon Rouges","$61 - $91*","15777 Sherbrooke East, Montreal, Quebec H1A 3R1, Canada "
"Andel's Hotel Berlin","$111 - $316*","Landsberger Allee 106, 10369 Berlin, Germany "
"Hotel Monopol","$77 - $130*","Mesrutiyet caddesi No 93, Istanbul 80050, Turkey "
"Hotel El Punto","$128 - $599*"," 5th Avenue & 8th Street | Colonia Centro, Playa del Carmen 77710, Mexico  "
"Hyatt Regency Hong Kong Sha Tin","$151 and up*","No.18 Chak Cheung Street, Sha Tin, New Territories, Hong Kong, China "
"Mingle Place By The Park","$69 and up*","No.143 Wanchai Road,Wanchai, Hong Kong, China "
"Grand Peninsula Hotel","$79 - $105*","Cankurtaran Mah. | 3 Ãâ¡etinkaya Sokak, Sultanahmet, Istanbul, Turkey "
"Hotel Silken Rambla Barcelona","$183 - $276*","Pinter Fortuny, 13, 08001 Barcelona, Spain "
"Hotel Malu'","$66 - $158*","Via Principe Amedeo 85/a, 00185 Rome, Italy "
"Hotel Gates Berlin City-East","$89 - $156*","Invalidenstrasse 98, 10115 Berlin, Germany "
"Village At Indian Point","$137 and up*","24 Village Trail, Branson, MO 65616 "
"Hampton Inn Branson - Branson Hills","$82 and up*","200 South Payne Stewart Drive, Branson, MO 65616 "
"SpringHill Suites Orlando at Seaworld","$134 - $175*"," 10801 International Drive, Orlando, FL 32821  "
"Mini Hotel Central Hong Kong","$83 and up*","No.38 Ice House Street, Lan Kwai Fong, Central, Hong Kong, China "
"Quality Inn & Suites East","$64 - $90*"," 7050 East 21st Street & Shadeland Avenue, Indianapolis, IN 46219  "
"Ramada Limited - San Diego","$78 - $157*"," 3747 Midway Drive, San Diego, CA 92110  "
"In Fashion Hotel Boutique","$104 - $223*"," Calle 12 Norte | between 5th and 10th Ave., Playa del Carmen 77710, Mexico  "
"Days Hotel Broadway","$154 - $911*"," 215 W 94th St & Broadway, New York City, NY 10025  "
"The Peak Hotel","$118 - $210*","Mesrutiyet Cad Oteller Sok 1/3 | Tepebasi, Istanbul 34430, Turkey "
"Lexington Hotel Key West","$122 - $1,114*"," 3850 North Roosevelt Boulevard, Key West, FL 33040 (Formerly Hotel Key West) "
"Holiday Inn Chicago O'Hare","$104 - $178*"," 5615 N Cumberland Avenue, Chicago, IL 60631 (Formerly Clarion Hotel Barcelo - O'Hare Arpt) "
"Sheraton Puerto Rico Hotel & Casino","$191 - $289*","200 Convention Boulevard, San Juan 00907, Puerto Rico "
"Indian Springs Resort and Spa","$185 - $285*","1712 Lincoln Ave., Calistoga, CA 94515 "
"Oxbridge Apartments","0"," 8 Collingham Road | Kensington, London SW5 OLT, England  "
"Casa Hotel Hong Kong","$93 and up*","No.487-489 Nathan Road, Yau Ma Tei Kowloon, Hong Kong, China "
"Hotel Indigo Toronto Airport","$103 - $168*"," 135 Carlingview Drive, Toronto, Ontario M9W 5E7, Canada  "
"AD Place Venice","$160 - $551*","San Marco - Fondamenta della Fenice 2557/A, 30124 Venice, Italy "
"Maywood Hotel","$66 - $158*","Nobethane Caddesi No:25 | Sirkeci, Istanbul, Turkey "
"Suite Novotel Mall Of The Emirates","$90 - $191*"," 2A Street, Dubai 283825, United Arab Emirates  "
"Hotel Amano","$112 - $207*","Auguststrasse 43 | junction Rosenthaler Strasse, 10119 Berlin, Germany "
"Paris Las Vegas","$109 - $278*"," 3655 Las Vegas Blvd S, Las Vegas, NV 89109  "
"Suites Avenue","$219 - $390*","Passeig de Gracia, 83, 8008 Barcelona, Spain "
"Quality Inn Downtown Baltimore","$112 - $182*","110 Saint Paul Street, Baltimore, MD 21202  "
"Hotel San Luca","$171 - $303*","Calle Dei Fabbri 4671 | San Marco, 30124 Venice, Italy "
"Twentyone Hotel","$137 - $323*","Via Cola di Rienzo 23, 00195 Rome, Italy "
"Tach Hotel","$60 and up*","C/ Timon, 35, 28042 Madrid, Spain "
"Harbour Grand Hong Kong","$207 and up*","No.23 Oil Street, North Point, Hong Kong, China "
"Hotel Darussaade Istanbul","$102 - $228*","Akbiyik Cad. No:96, Istanbul 34122, Turkey "
"Jerry's Motel","$75 - $85*","285 South Lucas Avenue, Los Angeles, CA 90026 "
"Aqueen Hotel Balestier","$82 - $114*","1441156.json"
"BEST WESTERN Amber Hotel","$119 - $281*","Ciftegelinler Caddesi 3 | Kumkapi, Istanbul 34126, Turkey "
"ARN Aruna Hotel","$91 - $235*","Cankurtaran Mah. Ahirkapi Sok No:74, Istanbul 34122, Turkey "
"Hotel Gramont Opera Paris","$207 - $413*"," 22, Rue Gramont, 75002 Paris, France  "
"Hyatt Regency Grand Cypress","$159 - $280*"," One Grand Cypress Boulevard, Orlando, FL 32836  "
"Rast Hotel","$123 - $544*","Binbirdirek Mh. Klodferar Cd. No:4 | Sultanahmet, Istanbul 34122, Turkey "
"Ambassador Transit Hotel Terminal 3","0","Transit Mall North, Mezzanine Level (Level 3) | Across from Transfer Counter B, access via Escalator, Glass Lift to level 3, Singapore, Singapore "
"Goodrich Hotel","$72 and up*","No.92-94 Zuodun Wusong Street, Kowloon District, Hong Kong, China "
"Dollar Inn - Indianapolis","0"," 6331 Crawfordsville Road, Indianapolis, IN 46224  "
"Les Studios Hotel","$48 - $64*","2450 Boul. Edouard Montpetit, Montreal, Quebec h3t1j4, Canada "
"Mountain Home Ranch","$59 - $149*","3400 Mountain Home Ranch Rd., Calistoga, CA 94515 "
"Golden Haven Hot Springs Spa","$79 - $149*","1713 Lake St., Calistoga, CA 94515 "
"Roman Spa Hot Springs Resort","$211 - $285*","1300 Washington St., Calistoga, CA 94515 "
"America's Best Value Inn Mayor Hotel","$165 - $197*"," 79 Division Street, New York City, NY 10002  "
"Hotel Sybharis","$46 - $52*"," Sullivan 163-B | Col. San Rafael, Mexico City 06470, Mexico  "
"Santa Ottoman Hotel","$91 - $183*","Sehit muhtar mahallesi Kurabiye/Zambak sokak no 1 | Beyoglu, Istanbul 34500, Turkey "
"Monaco Baltimore, a Kimpton Hotel","$205 - $389*","2 North Charles Street, Baltimore, MD 21201 "
"Hotel Polatdemir","$98 - $186*","Aksaray Street No 7 | Laleli, Istanbul 34130, Turkey "
"Hesperia Ramblas","$140 - $253*","C/ L'Hospital, 26, 08001 Barcelona, Spain "
"Pacific View Motel","0"," 610 Emerald St., San Diego, CA  "
"El Cortez Cabana Suites","0"," 651 East Ogden Avenue, Las Vegas, NV 89101  "
"Plaza Hotel","$91 - $628*"," 53 Shepherds Bush Road, London W6 7LU, England  "
"Acra Hotel","$130 - $414*","Mimar Mehmet Aga Cad. Amiral Tafdil Sok. No:15 | Sultanahmet, Istanbul, Turkey "
"Man Hing Lung Hotel","0","Flat F2 14/F, Mirador Mansion, 58 Nathan Rd., Tsim Sha Tsui, Hong Kong, China "
"CasaBlanca Hotel","$133 - $272*","316 Fortaleza St. | Old San Juan, San Juan 00901, Puerto Rico "
"Thompson Toronto - A Thompson Hotel","$234 - $594*"," 550 Wellington Street West, Toronto, Ontario M5V 2V4, Canada  "
"W Retreat & Spa Vieques","$341 - $649*","1456257.json"
"W Hollywood","$293 - $448*","6250 Hollywood Blvd, Hollywood, Los Angeles, CA 90028 "
"Mandarin Oriental, Las Vegas","$216 - $359*"," 3752 Las Vegas Boulevard South, Las Vegas, NV 89109  "
"Mandarin Oriental, Barcelona","$495 - $917*","Passeig de Gracia, 38-40, 08007 Barcelona, Spain "
"Radisson Blu Hotel, Madrid Prado","$169 and up*","Calle Moratin, 52, 28014 Madrid, Spain "
"Hotellino Istanbul","$84 - $591*","Hoca Pasa Mah. Nobethane Cad. | No: 5 Sirkeci, Istanbul 34134, Turkey "
"Eventi - a Kimpton Hotel","$282 - $588*"," 851 Avenue of the Americas (Sixth Avenue), New York City, NY 10001  "
"Hilton Garden Inn Indianapolis South/Greenwood","$87 - $139*"," 5255 Noggle Way, Indianapolis, IN 46237  "
"ascot hyde park hotel","$97 - $550*"," 11 craven road, London, England  "
"Shelter Hotels Los Angeles","$80 - $146*","457 S. Mariposa Ave., Los Angeles, CA 90020 "
"Levent Otel Istanbul","$92 - $131*","Talatpasa Cad. Bacadibi Sok. No 7, Istanbul 34413, Turkey "
"Fountain House Apartments","0"," 1, Lancaster terrace, London, England  "
"Samir Hotel-Old City Istanbul","$74 - $310*","Buyu Resitpasa Caddesi Ahmet Suayip Sokak | No: 22 Sehzadebasi, Istanbul 34470, Turkey "
"City Express Reforma El Angel","$101 - $116*"," Av. Paseo de la Reforma No. 334 | Col. Juarez, Mexico City 06600, Mexico  "
"W New York - Downtown","$256 - $467*"," 123 Washington Street, New York City, NY 10006  "
"Hotel le Petit Paris","$255 - $340*"," 214 rue Saint Jacques, 75005 Paris, France  "
"ABC Hostel","$14 - $17*","3 Jalan Kubor, Singapore 19920, Singapore "
"Ibis Barcelona Pza Glories 22","$97 - $123*","Calle Ciutat de Granada 99, 08018 Barcelona, Spain "
"Majestic Hotel","0","7th Street & Boardwalk, Ocean City, MD 21842 "
"Four Points by Sheraton Midtown - Times Square","$234 - $414*"," 326 West 40th Street, New York City, NY 10018  "
"Emin Hotel","$43 - $102*","Saffettin Pasa Sok. No:18 | Sirkeci, Istanbul 34110, Turkey "
"Idea Hotel Roma Z3","$84 - $154*","Via Amos Zanibelli, 00155 Rome, Italy "
"Holiday Inn Express New York City-Wall Street","$190 - $334*"," 126 Water Street, New York City, NY 10005  "
"Holiday Inn Express Baltimore-Downtown","$120 - $185*","221 North Gay Street, Baltimore, MD 21202 "
"Holiday Inn Istanbul-Sisli","$167 - $435*","Halaskar Gazi Caddesi,19 Mayis Mah no 206 | Sisli, Istanbul 34371, Turkey "
"W Barcelona","$342 - $821*","Placa de la Rosa dels Vents, 1, 08039 Barcelona, Spain "
"Boutique Hotel View","$144 - $263*","Leidsekade 77, Amsterdam 1017PM, The Netherlands "
"Studio 6 Orlando - Kissimmee","$33 - $51*","5733 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746 "
"Crowne Plaza Hotel Hong Kong Causeway Bay","$257 and up*","No.8 Leighton Road, Causeway Bay, Hong Kong, China "
"Sohotel","$111 and up*","No.139 Bonham Strand, Hong Kong, China "
"Grand City Hotel Berlin East","$49 - $153*","Landsberger Allee 203, 13055 Berlin, Germany "
"Hotel Elements","$170 - $312*"," Avenida Flamingo & Calle 46, Playa del Carmen 77710, Mexico  "
"Sipahi Hotel","0","Divanyolu Turbedar Sokak No:20 | Cemberlitas, Istanbul 34120, Turkey "
"Alba Hotel Torre Maura","$54 - $112*","Viale di Torre Maura, 81, 00169 Rome, Italy "
"Coast Coal Harbour Hotel","$204 - $310*","1180 West Hastings Street, Vancouver, British Columbia V6E 4R5, Canada "
"Cristal Champs Elysees","$215 - $440*"," 9 Rue de Washington, Paris, France (Formerly Hotel Modern Elysees) "
"Le Petit Hotel","$204 - $319*","168 rue St-Paul Ouest, Montreal, Quebec H2Y 1Z7, Canada "
"Vdara Hotel & Spa","$129 - $281*"," 2600 W. Harmon Avenue, Las Vegas, NV 89109  "
"Sunny Day Hotel (Mongkok)","$117 and up*","No.419 Reclamation Street, Mongkok, Kowloom, Hong Kong, China "
"Ardeatina Park Hotel","$65 - $158*","Via Vittore Ghiliani, 00134 Rome, Italy "
"Celal Aga Konagi Hotel","$209 - $305*","Balaban Aga Mh. Sehzadebasi Cd. | Eminonu, Istanbul, Turkey "
"Hotel Sphendon","$79 - $158*","Eminonu, Akbiyik Degirmeni Sk, 50, Istanbul 34122, Turkey "
"Club Quarters Chicago -- Wacker at Michigan","$125 - $267*"," 75 East Wacker Drive, Chicago, IL 60601  "
"The MAve","$243 - $456*"," 62 Madison Ave, New York City, NY 10016  "
"Hix Island House","$135 - $450*","Route 995, km 1.5 | HC02 Box 14902, 00765, Puerto Rico "
"Hacienda Tamarindo","$135 - $345*","Box 1569, 00765, Puerto Rico "
"Mercure Gold Hotel","$73 - $187*"," Al Mina Road Bur Dubai | PO Box 66431, Dubai, United Arab Emirates (Formerly Gold Swiss-Belhotel Dubai) "
